reaction	value	status
ASPK	0.0	optimal
ASPO3_1	0.9219481	optimal
ASPO4_1	0.9219481	optimal
ASPO5_1	0.9219481	optimal
ASPO6_1	0.9219481	optimal
ASPT	0.9219481	optimal
ASPTA	0.0	optimal
ASPabc	0.9219481	optimal
ASPt2_2	0.9219481	optimal
ASPt2_3	0.9219481	optimal
ASPt2r	0.9219481	optimal
AST	0.9219481	optimal
ATPM	0.95697342	optimal
ATPPRT	0.0	optimal
ATPS4r	0.3623585	optimal
BETALDHx	0.9219481	optimal
BETALDHy	0.9219481	optimal
BIOMASS_Ecoli	0.0	optimal
BPNT	0.0	optimal
BSORx	0.9219481	optimal
BSORy	0.9219481	optimal
BTS2	0.9219481	optimal
BUTCT	0.9219481	optimal
BUTt2r	0.9219481	optimal
C120SN	0.0	optimal
C140SN	0.0	optimal
C141SN	0.0	optimal
C160SN	0.0	optimal
C161SN	0.0	optimal
C181SN	0.0	optimal
CADVt	0.9219481	optimal
CAT	0.9219481	optimal
CBIAT_DELETE	0.9219481	optimal
CBL1abc	0.9219481	optimal
CBLAT_DELETE	0.9219481	optimal
CBMKr	0.91308628	optimal
CBPS	0.9219481	optimal
CDAPPA_EC	0.9219481	optimal
CDPMEK	0.9219481	optimal
CHLabc	0.9219481	optimal
CHLt2	0.9219481	optimal
CHORM	0.0	optimal
CHORS	0.0	optimal
CHRPL	0.9219481	optimal
CINNDO	0.9219481	optimal
CITL	0.9219481	optimal
CITt7	0.9219481	optimal
CLPNS_EC	0.0	optimal
CMPN	0.9219481	optimal
CO2t	0.47910275	optimal
CPPPGO	0.9219481	optimal
CRNBTCT	0.9219481	optimal
CRNCBCT	0.9219481	optimal
CRNCDH	0.9219481	optimal
CRNt7	0.9219481	optimal
CS	0.0	optimal
CSND	0.9219481	optimal
CSNt2	0.9219481	optimal
CTPS2	0.0	optimal
CYANST	0.9219481	optimal
CYNTAH	0.9219481	optimal
CYNTt2	0.9219481	optimal
CYSDS	0.9219481	optimal
CYSS	0.0	optimal
CYSTL	0.0	optimal
CYSabc	0.9219481	optimal
CYTBD	0.9219481	optimal
CYTBO3	0.87397329	optimal
CYTD	0.9219481	optimal
CYTDK2	0.9219481	optimal
CYTDt2_copy1	0.9219481	optimal
CYTDt2_copy2	0.9219481	optimal
CYTK1	0.91907758	optimal
CYTK2	0.9219481	optimal
DAAD	0.9219481	optimal
DADA	0.9219481	optimal
DADK	0.9219481	optimal
DADNt2	0.9219481	optimal
DAGK_EC	0.0	optimal
DALAt2r	0.9219481	optimal
DAPDC	0.0	optimal
DAPE	0.0	optimal
DAPabc	0.9219481	optimal
DASYN_EC	0.0	optimal
DB4PS	0.0	optimal
DBTS	0.9219481	optimal
DCTPD	0.9219481	optimal
DCYTD	0.9219481	optimal
DCYTt2	0.9219481	optimal
DDGALK	0.9219481	optimal
DDGLCNt2r	0.9219481	optimal
DDGLK	0.9219481	optimal
DDPA	0.0	optimal
DDPGALA	0.9219481	optimal
DGK1	0.9219481	optimal
DGSNt2	0.9219481	optimal
DHAD1	0.0	optimal
DHAD2	0.0	optimal
DHAPT	0.9219481	optimal
DHAt	0.9219481	optimal
DHBD	0.9219481	optimal
DHBSr	0.9219481	optimal
DHCIND	0.9219481	optimal
DHCINDO_1	0.9219481	optimal
DHDPRy	0.0	optimal
DHDPS	0.0	optimal
DHFR	0.0	optimal
DHFS_1	0.0	optimal
DHNAOT	0.9219481	optimal
DHNPA2r	0.0	optimal
DHORD2	0.9219481	optimal
DHORD5	0.9219481	optimal
DHORTS	0.0	optimal
DHPPD	0.9219481	optimal
DHPPDA2	0.0	optimal
DHPS2_1	0.0	optimal
DHPTDCs	0.9219481	optimal
DHQS	0.0	optimal
DHQTi	0.0	optimal
DINSt2	0.9219481	optimal
DKGLCNR1	0.9219481	optimal
DKGLCNR2x	0.9219481	optimal
DKGLCNR2y	0.9219481	optimal
DKMPPD	0.92191826	optimal
DKMPPD2	0.9219481	optimal
DMATT	0.9219481	optimal
DMPPS	0.9219481	optimal
DMQMT	0.9219481	optimal
DMSOR1	0.9219481	optimal
DMSOR1e	0.9219481	optimal
DMSOR2	0.9219481	optimal
DMSOR2e	0.9219481	optimal
DNMPPA	0.0	optimal
DNTPPA	0.0	optimal
DOGULNR	0.9219481	optimal
DPCOAK	0.0	optimal
DPR	0.0	optimal
DRPA	0.92073811	optimal
DSERt2	0.9219481	optimal
DTMPK	0.0	optimal
DURIK1	0.9219481	optimal
DURIPP	0.9219481	optimal
DURIt2	0.9219481	optimal
DUTPDP	0.9219481	optimal
DXPRIi	0.9219481	optimal
DXPS	0.9219481	optimal
DXYLK	0.9219481	optimal
D_LACt2	0.9219481	optimal
E4PD	0.9219481	optimal
ECAP_EC	0.9219481	optimal
EDA	0.9219481	optimal
EDD	0.9219481	optimal
EDTXS1	0.0	optimal
EDTXS2	0.0	optimal
EDTXS3	0.9219481	optimal
EDTXS4	0.9219481	optimal
ENO	0.74529329	optimal
ENTCS_1	0.9219481	optimal
ETHAAL	0.9219481	optimal
ETOHt2r	0.9219481	optimal
EX_12ppd__S_e	0.9219481	optimal
EX_15dap_e	0.9219481	optimal
EX_26dap__M_e	0.9219481	optimal
EX_2ddglcn_e	0.9219481	optimal
EX_3hcinnm_e	0.9219481	optimal
EX_3hpppn_e	0.9219481	optimal
EX_4abut_e	0.9219481	optimal
EX_ac_e	0.9219481	optimal
EX_acac_e	0.9219481	optimal
EX_acald_e	0.9219481	optimal
EX_acgam_e	0.9219481	optimal
EX_acmana_e	0.9219481	optimal
EX_acnam_e	0.9219481	optimal
EX_ade_e	0.9219481	optimal
EX_adn_e	0.9219481	optimal
EX_akg_e	0.9219481	optimal
EX_ala__D_e	0.9219481	optimal
EX_ala__L_e	0.9219481	optimal
EX_alltn_e	0.9219481	optimal
EX_amp_e	0.9219481	optimal
EX_arab__L_e	0.9219481	optimal
EX_arg__L_e	0.9219481	optimal
EX_asn__L_e	0.9219481	optimal
EX_asp__L_e	0.9219481	optimal
EX_but_e	0.9219481	optimal
EX_cbl1_e	0.9219481	optimal
EX_chol_e	0.9219481	optimal
EX_cit_e	0.9219481	optimal
EX_co2_e	0.47910275	optimal
EX_crn_e	0.9219481	optimal
EX_csn_e	0.9219481	optimal
EX_cynt_e	0.9219481	optimal
EX_cys__L_e	0.9219481	optimal
EX_cytd_e	0.9219481	optimal
EX_dad_2_e	0.9219481	optimal
EX_dcyt_e	0.9219481	optimal
EX_dgsn_e	0.9219481	optimal
EX_dha_e	0.9219481	optimal
EX_din_e	0.9219481	optimal
EX_dms_e	0.9219481	optimal
EX_dmso_e	0.9219481	optimal
EX_duri_e	0.9219481	optimal
EX_etoh_e	0.9219481	optimal
EX_fe2_e	0.9219481	optimal
EX_for_e	0.9219481	optimal
EX_fru_e	0.9219481	optimal
EX_fuc1p__L_e	0.9219481	optimal
EX_fuc__L_e	0.9219481	optimal
EX_fum_e	0.9219481	optimal
EX_g6p_e	0.9219481	optimal
EX_gal_e	0.9219481	optimal
EX_galct__D_e	0.9219481	optimal
EX_galctn__D_e	0.9219481	optimal
EX_galt_e	0.9219481	optimal
EX_galur_e	0.9219481	optimal
EX_gam_e	0.9219481	optimal
EX_gbbtn_e	0.9219481	optimal
EX_glc__D_e		infeasible
EX_glcn_e	0.9219481	optimal
EX_glcr_e	0.9219481	optimal
EX_glcur_e	0.9219481	optimal
EX_gln__L_e	0.9219481	optimal
EX_glu__L_e	0.9219481	optimal
EX_gly_e	0.9219481	optimal
EX_glyald_e	0.9219481	optimal
EX_glyb_e	0.9219481	optimal
EX_glyc3p_e	0.9219481	optimal
EX_glyc_e	0.9219481	optimal
EX_glyclt_e	0.9219481	optimal
EX_gsn_e	0.9219481	optimal
EX_gua_e	0.9219481	optimal
EX_h2o_e	0.28809967	optimal
EX_h_e	0.0	optimal
EX_hdca_e	0.9219481	optimal
EX_his__L_e	0.9219481	optimal
EX_hxan_e	0.9219481	optimal
EX_idon__L_e	0.9219481	optimal
EX_ile__L_e	0.9219481	optimal
EX_indole_e	0.9219481	optimal
EX_ins_e	0.9219481	optimal
EX_k_e	0.9219481	optimal
EX_lac__D_e	0.9219481	optimal
EX_lac__L_e	0.9219481	optimal
EX_lcts_e	0.9219481	optimal
EX_leu__L_e	0.9219481	optimal
EX_lys__L_e	0.9219481	optimal
EX_mal__L_e	0.9219481	optimal
EX_malt_e	0.9219481	optimal
EX_malthx_e	0.9219481	optimal
EX_maltpt_e	0.9219481	optimal
EX_malttr_e	0.9219481	optimal
EX_maltttr_e	0.9219481	optimal
EX_man6p_e	0.9219481	optimal
EX_man_e	0.9219481	optimal
EX_melib_e	0.9219481	optimal
EX_met__D_e	0.9219481	optimal
EX_met__L_e	0.9219481	optimal
EX_mnl_e	0.9219481	optimal
EX_na1_e	0.9219481	optimal
EX_nac_e	0.9219481	optimal
EX_nad_e	0.9219481	optimal
EX_nh4_e	0.0	optimal
EX_nmn_e	0.9219481	optimal
EX_no2_e	0.9219481	optimal
EX_no3_e	0.9219481	optimal
EX_o2_e	0.21625392	optimal
EX_ocdca_e	0.9219481	optimal
EX_orn_e	0.9219481	optimal
EX_phe__L_e	0.9219481	optimal
EX_pi_e	0.0	optimal
EX_pnto__R_e	0.9219481	optimal
EX_pppn_e	0.9219481	optimal
EX_pro__L_e	0.9219481	optimal
EX_ptrc_e	0.9219481	optimal
EX_pyr_e	0.9219481	optimal
EX_rib__D_e	0.9219481	optimal
EX_rmn_e	0.9219481	optimal
EX_sbt__D_e	0.9219481	optimal
EX_ser__D_e	0.9219481	optimal
EX_ser__L_e	0.9219481	optimal
EX_so4_e	0.0	optimal
EX_spmd_e	0.9219481	optimal
EX_succ_e	0.9219481	optimal
EX_sucr_e	0.9219481	optimal
EX_tartr__L_e	0.9219481	optimal
EX_taur_e	0.9219481	optimal
EX_thm_e	0.9219481	optimal
EX_thr__L_e	0.9219481	optimal
EX_thymd_e	0.9219481	optimal
EX_tma_e	0.9219481	optimal
EX_tmao_e	0.9219481	optimal
EX_tre_e	0.9219481	optimal
EX_trp__L_e	0.9219481	optimal
EX_tsul_e	0.9219481	optimal
EX_ttdca_e	0.9219481	optimal
EX_tyr__L_e	0.9219481	optimal
EX_ura_e	0.9219481	optimal
EX_urea_e	0.9219481	optimal
EX_uri_e	0.9219481	optimal
EX_val__L_e	0.9219481	optimal
EX_xan_e	0.9219481	optimal
EX_xtsn_e	0.9219481	optimal
EX_xyl__D_e	0.9219481	optimal
F6PA	0.9219481	optimal
FAO1	0.9219481	optimal
FAO2	0.9219481	optimal
FAO3	0.9219481	optimal
FAO4	0.9219481	optimal
FBA	0.90828215	optimal
FBP	0.9219481	optimal
FCI	0.9219481	optimal
FCLK	0.9219481	optimal
FCLPA	0.9219481	optimal
FCLT	0.9219481	optimal
FDH2	0.9219481	optimal
FDH3	0.9219481	optimal
FE2abc	0.9219481	optimal
FFSD	0.9219481	optimal
FHL	0.9219481	optimal
FMNAT	0.0	optimal
FORt	0.9219481	optimal
FRD2	0.9219481	optimal
FRD3	0.9219481	optimal
FRUK	0.9219481	optimal
FRUpts	0.9219481	optimal
FRUpts2	0.9219481	optimal
FTHFD	0.92171665	optimal
FUCPt6_2	0.9219481	optimal
FUCt	0.9219481	optimal
FUM	0.84584322	optimal
FUMt2_2	0.9219481	optimal
FUMt2_3	0.9219481	optimal
G1PACT	0.0	optimal
G1PP	0.9219481	optimal
G1PTT	0.9219481	optimal
G1SAT	0.9219481	optimal
G3PD2	0.0	optimal
G3PD5	0.9219481	optimal
G3PD6	0.9219481	optimal
G3PD7	0.9219481	optimal
G5SADs	0.0	optimal
G5SD	0.92105379	optimal
G6PDA	0.9219481	optimal
G6PDH2r	0.90149277	optimal
G6Pt6_2	0.9219481	optimal
GALCTD	0.9219481	optimal
GALCTND	0.9219481	optimal
GALCTNt2r	0.9219481	optimal
GALCTt2r	0.9219481	optimal
GALKr	0.9219481	optimal
GALS3	0.9219481	optimal
GALTpts	0.9219481	optimal
GALURt2r	0.9219481	optimal
GALUi_copy1	0.9219481	optimal
GALUi_copy2	0.9219481	optimal
GALabc	0.9219481	optimal
GALt2	0.9219481	optimal
GAMpts	0.9219481	optimal
GAPD	0.62501268	optimal
GARFT	0.91957716	optimal
GART	0.9219481	optimal
GCALDD	0.0	optimal
GDMANE	0.9219481	optimal
GF6PTA	0.0	optimal
GHMT2r	0.8894835	optimal
GK1	0.0	optimal
GLCDe	0.9219481	optimal
GLCNt2r	0.9219481	optimal
GLCP	0.9219481	optimal
GLCRAL	0.9219481	optimal
GLCRD	0.9219481	optimal
GLCRt2r	0.9219481	optimal
GLCS1	0.0	optimal
GLCURt2r	0.9219481	optimal
GLCpts	0.89897253	optimal
GLCt2	0.9219481	optimal
GLGC	0.0	optimal
GLNS	0.0	optimal
GLNabc	0.9219481	optimal
GLTPD	0.9219481	optimal
GLU5K	0.92105379	optimal
GLUABUTt7	0.9219481	optimal
GLUCYS	0.9219481	optimal
GLUDC	0.9219481	optimal
GLUDy	0.85298026	optimal
GLUN	0.9219481	optimal
GLUPRT	0.0	optimal
GLUR	0.0	optimal
GLUSy	0.9219481	optimal
GLUTRR	0.9219481	optimal
GLUTRS	0.9219481	optimal
GLUabc	0.9219481	optimal
GLUt2r	0.9219481	optimal
GLUt4	0.9219481	optimal
GLXCL	0.9219481	optimal
GLYALDt	0.9219481	optimal
GLYAT	0.9219481	optimal
GLYBabc	0.9219481	optimal
GLYBt2r	0.9219481	optimal
GLYC3Pabc	0.9219481	optimal
GLYC3Pt6	0.9219481	optimal
GLYCDx	0.9219481	optimal
GLYCK	0.9219481	optimal
GLYCL	0.9219481	optimal
GLYCLTDx	0.9219481	optimal
GLYCLTDy	0.9219481	optimal
GLYCLTt2r	0.9219481	optimal
GLYCTO2	0.9219481	optimal
GLYCTO3	0.9219481	optimal
GLYCTO4	0.9219481	optimal
GLYCt	0.9219481	optimal
GLYK	0.92194191	optimal
GLYOX	0.9219481	optimal
GLYt2r	0.9219481	optimal
GMAND	0.9219481	optimal
GMHEPAT	0.0	optimal
GMHEPK	0.0	optimal
GMHEPPA	0.0	optimal
GMPR	0.9219481	optimal
GMPS2	0.0	optimal
GND	0.90149277	optimal
GNK	0.9219481	optimal
GOFUCR	0.9219481	optimal
GP4GH	0.9219481	optimal
GPDDA1	0.9219481	optimal
GPDDA2	0.9219481	optimal
GPDDA3	0.9219481	optimal
GPDDA4	0.9219481	optimal
GPDDA5	0.9219481	optimal
GRTT	0.9219481	optimal
GSNK	0.9219481	optimal
GSNt2	0.9219481	optimal
GSPMDA	0.9219481	optimal
GSPMDS	0.9219481	optimal
GTHOr	0.9219481	optimal
GTHS	0.9219481	optimal
GTPCII2	0.0	optimal
GTPCI_1	0.0	optimal
GUAD	0.9219481	optimal
GUAPRT	0.9219481	optimal
GUAt	0.9219481	optimal
GUAt2r	0.9219481	optimal
GUI1	0.9219481	optimal
GUI2	0.9219481	optimal
H2Ot	0.28809967	optimal
HBZOPT	0.9219481	optimal
HCINNMt2r	0.9219481	optimal
HCO3E	0.0	optimal
HDCAt2	0.9219481	optimal
HEMEOS	0.9219481	optimal
HETZK	0.9219481	optimal
HEX1	0.9219481	optimal
HISTD	0.0	optimal
HISTP	0.0	optimal
HISabc	0.9219481	optimal
HISt2r	0.9219481	optimal
HKNDDH_1	0.9219481	optimal
HKNTDH_1	0.9219481	optimal
HMBS	0.9219481	optimal
HMPK1	0.9219481	optimal
HOPNTAL	0.9219481	optimal
HPPK2	0.0	optimal
HPPPNDO_1	0.9219481	optimal
HPPPNt2r	0.9219481	optimal
HPYRI	0.9219481	optimal
HPYRRx	0.9219481	optimal
HPYRRy	0.9219481	optimal
HSDy	0.0	optimal
HSK	0.9219481	optimal
HSST	0.0	optimal
HSTPT	0.0	optimal
HXPRT	0.9219481	optimal
HYD1	0.9219481	optimal
HYD2	0.9219481	optimal
HYD3	0.9219481	optimal
HYPOE	0.9219481	optimal
HYXNt	0.9219481	optimal
ICDHyr	0.0	optimal
ICHORS	0.9219481	optimal
ICHORT	0.9219481	optimal
ICL	0.9219481	optimal
IDOND	0.9219481	optimal
IDOND2	0.9219481	optimal
IDONt2r	0.9219481	optimal
IG3PS	0.0	optimal
IGPDH	0.0	optimal
IGPS	0.0	optimal
ILETA	0.0	optimal
ILEabc	0.9219481	optimal
ILEt2r	0.9219481	optimal
IMPC	0.0	optimal
IMPD	0.0	optimal
INDOLEt2r	0.9219481	optimal
INSK	0.9219481	optimal
INSt2_copy1	0.9219481	optimal
INSt2_copy2	0.9219481	optimal
IPDDI	0.9219481	optimal
IPDPS	0.9219481	optimal
IPMD	0.0	optimal
IPPMIa	0.0	optimal
IPPMIb	0.0	optimal
IPPS	0.0	optimal
KARA1	0.0	optimal
KARA2	0.0	optimal
KAS14	0.9219481	optimal
KAS15	0.9219481	optimal
KAS16	0.0	optimal
KDOCT2	0.0	optimal
KDOPP	0.0	optimal
KDOPS	0.0	optimal
KG6PDC	0.9219481	optimal
Kabc	0.9219481	optimal
Kt2r	0.9219481	optimal
LACZ	0.9219481	optimal
LCADi_copy1	0.9219481	optimal
LCADi_copy2	0.9219481	optimal
LCARS	0.9219481	optimal
LCTSt	0.9219481	optimal
LDH_D	0.9219481	optimal
LDH_D2	0.9219481	optimal
LEUTAi	0.0	optimal
LEUabc	0.9219481	optimal
LEUt2r	0.9219481	optimal
LGTHL	0.9219481	optimal
LPADSS	0.0	optimal
LPLIPA1	0.9219481	optimal
LPLIPA2	0.9219481	optimal
LPLIPA3	0.9219481	optimal
LPLIPA4	0.9219481	optimal
LPLIPA5	0.9219481	optimal
LPLIPA6	0.9219481	optimal
LPSSYN_EC	0.0	optimal
LYSDC	0.9219481	optimal
LYSabc	0.9219481	optimal
LYSt2r	0.9219481	optimal
L_LACD2	0.9219481	optimal
L_LACD3	0.9219481	optimal
L_LACt2r	0.9219481	optimal
M1PD	0.9219481	optimal
MACPD	0.9219481	optimal
MALS	0.92177229	optimal
MALTHXabc	0.9219481	optimal
MALTPTabc	0.9219481	optimal
MALTTRabc	0.9219481	optimal
MALTTTRabc	0.9219481	optimal
MALTabc	0.9219481	optimal
MALTpts	0.9219481	optimal
MALt2_2	0.9219481	optimal
MALt2_3	0.9219481	optimal
MAN1PT2	0.9219481	optimal
MAN6PI	0.9219481	optimal
MAN6Pt6_2	0.9219481	optimal
MANAO	0.9219481	optimal
MANpts	0.9219481	optimal
MCITD	0.9219481	optimal
MCITL2	0.9219481	optimal
MCITS	0.9219481	optimal
MCOATA	0.0	optimal
MDH	0.88146051	optimal
MDH2	0.9219481	optimal
MDH3	0.9219481	optimal
MDRPD	0.0	optimal
ME1	0.9219481	optimal
ME2	0.9219481	optimal
MECDPDH	0.9219481	optimal
MECDPS	0.9219481	optimal
MELIBt2	0.9219481	optimal
MEPCT	0.9219481	optimal
METAT	0.0	optimal
METDabc	0.9219481	optimal
METS_1	0.0	optimal
METabc	0.9219481	optimal
MGSA	0.9219481	optimal
MI1PP	0.9219481	optimal
MICITDr	0.9219481	optimal
MLTG1	0.9219481	optimal
MLTG2	0.9219481	optimal
MLTG3	0.9219481	optimal
MLTG4	0.9219481	optimal
MLTG5	0.9219481	optimal
MLTP1	0.9219481	optimal
MLTP2	0.9219481	optimal
MLTP3	0.9219481	optimal
MMCD	0.9219481	optimal
MME	0.9219481	optimal
MMM2	0.9219481	optimal
MNLpts	0.9219481	optimal
MNNH	0.9219481	optimal
MOAT	0.0	optimal
MOAT2	0.0	optimal
MOHMT	0.0	optimal
MTAN	0.0	optimal
MTHFC_1	0.89581335	optimal
MTHFD_1	0.89581335	optimal
MTHFR2_1	0.0	optimal
MTRI	0.0	optimal
MTRK	0.0	optimal
NACODA	0.9219481	optimal
NACt	0.9219481	optimal
NADDP	0.9219481	optimal
NADDPe	0.9219481	optimal
NADH10	0.9219481	optimal
NADH5	0.9219481	optimal
NADH6	0.86173819	optimal
NADH7	0.9219481	optimal
NADH8	0.9219481	optimal
NADH9	0.9219481	optimal
NADK	0.0	optimal
NADPPPS	0.9219481	optimal
NADS1	0.0	optimal
NADTRHD	0.9219481	optimal
NAMNPP	0.9219481	optimal
NAt3_1	0.9219481	optimal
NAt3_15	0.9219481	optimal
NAt3_2	0.9219481	optimal
NDPK1	0.9219481	optimal
NDPK2	0.0	optimal
NDPK3	0.92051031	optimal
NDPK4	0.0	optimal
NDPK5	0.9219481	optimal
NDPK6	0.9219481	optimal
NDPK7	0.9219481	optimal
NDPK8	0.9219481	optimal
NH4t	0.0	optimal
NMNAT	0.9219481	optimal
NMNDA	0.9219481	optimal
NMNN	0.9219481	optimal
NMNP	0.9219481	optimal
NMNt7	0.9219481	optimal
NNAM	0.9219481	optimal
NNATr	0.0	optimal
NNDMBRT	0.9219481	optimal
NNDPR	0.0	optimal
NO2t2r	0.9219481	optimal
NO3R1	0.9219481	optimal
NO3R2	0.9219481	optimal
NO3t7	0.9219481	optimal
NPHS	0.9219481	optimal
NTD1	0.9219481	optimal
NTD10	0.9219481	optimal
NTD11	0.9219481	optimal
NTD2	0.9219481	optimal
NTD3	0.9219481	optimal
NTD4	0.9219481	optimal
NTD5	0.9219481	optimal
NTD6	0.9219481	optimal
NTD7	0.9219481	optimal
NTD8	0.9219481	optimal
NTD9	0.9219481	optimal
NTPP1	0.9219481	optimal
NTPP2	0.9219481	optimal
NTPP3	0.9219481	optimal
NTPP4	0.9219481	optimal
NTPP5	0.9219481	optimal
NTPP6	0.9219481	optimal
NTPP7	0.9219481	optimal
NTPP8	0.9219481	optimal
NTPTP1	0.9219481	optimal
NTPTP2	0.9219481	optimal
NTRIR2x	0.9219481	optimal
O2t	0.21625392	optimal
OBTFL	0.9219481	optimal
OCBT	0.0	optimal
OCDCAt2	0.9219481	optimal
OCTDPS	0.9219481	optimal
OHPBAT	0.9219481	optimal
OHPHM	0.9219481	optimal
OMBZLM	0.9219481	optimal
OMCDC	0.0	optimal
OMMBLHX	0.9219481	optimal
OMPDC	0.0	optimal
OMPHHX	0.9219481	optimal
OP4ENH	0.9219481	optimal
OPHBDC	0.9219481	optimal
OPHHX	0.9219481	optimal
ORNDC	0.92128167	optimal
ORNTA	0.9219481	optimal
ORNabc	0.9219481	optimal
ORPT	0.0	optimal
OXGDC2	0.9219481	optimal
P5CD	0.9219481	optimal
P5CR	0.0	optimal
PACCOAL	0.9219481	optimal
PANTS	0.0	optimal
PAPA_EC	0.9219481	optimal
PAPPT3	0.0	optimal
PAPSR	0.0	optimal
PASYN_EC	0.0	optimal
PDH	0.89265726	optimal
PDX5POi	0.9219481	optimal
PDX5PS	0.9219481	optimal
PDXPP	0.9219481	optimal
PEAMNO	0.9219481	optimal
PEPT_EC	0.0	optimal
PERD	0.9219481	optimal
PFK	0.90828215	optimal
PFK_2	0.9219481	optimal
PFL	0.9219481	optimal
PGAMT	0.0	optimal
PGCD	0.0	optimal
PGI	0.90598342	optimal
PGK	0.62501268	optimal
PGL	0.90149277	optimal
PGLYCP	0.9219481	optimal
PGM	0.74529329	optimal
PGMT	0.0	optimal
PGPP_EC	0.0	optimal
PGSA_EC	0.0	optimal
PHETA1	0.0	optimal
PHEt2r	0.9219481	optimal
PIabc	0.9219481	optimal
PIt2r	0.9176974	optimal
PLIPA1	0.9219481	optimal
PLIPA2	0.9219481	optimal
PLIPA3	0.9219481	optimal
PMANM	0.9219481	optimal
PMDPHT	0.0	optimal
PMPK	0.9219481	optimal
PNTK	0.0	optimal
PNTOt4	0.9219481	optimal
POX	0.9219481	optimal
PPA	0.0	optimal
PPAKr	0.9219481	optimal
PPBNGS	0.9219481	optimal
PPC	0.91914072	optimal
PPCDC	0.0	optimal
PPCK	0.9219481	optimal
PPCSCT	0.9219481	optimal
PPM	0.9208072	optimal
PPM2	0.92073811	optimal
PPNCL2	0.0	optimal
